ticker,statement,fiscal_date,metric,value
MONC.MI,cash_flow,2025-12-31,Depreciation And Amortization,336684000.0
MONC.MI,cash_flow,2025-12-31,Amortization Cash Flow,34666000.0
MONC.MI,cash_flow,2025-12-31,Depreciation,302018000.0
MONC.MI,cash_flow,2025-12-31,Net Foreign Currency Exchange Gain Loss,9193000.0
MONC.MI,cash_flow,2025-12-31,Net Income From Continuing Operations,626668000.0
MONC.MI,cash_flow,2024-12-31,Free Cash Flow,794311000.0
MONC.MI,cash_flow,2024-12-31,Repayment Of Debt,-1513000.0
MONC.MI,cash_flow,2024-12-31,Capital Expenditure,-195195000.0
MONC.MI,cash_flow,2024-12-31,End Cash Position,1187972000.0
MONC.MI,cash_flow,2024-12-31,Beginning Cash Position,998799000.0
MONC.MI,cash_flow,2024-12-31,Effect Of Exchange Rate Changes,2268000.0
MONC.MI,cash_flow,2024-12-31,Changes In Cash,186905000.0
MONC.MI,cash_flow,2024-12-31,Financing Cash Flow,-535173000.0
MONC.MI,cash_flow,2024-12-31,Cash Dividends Paid,-311014000.0
MONC.MI,cash_flow,2024-12-31,Common Stock Dividend Paid,-311014000.0
MONC.MI,cash_flow,2024-12-31,Net Issuance Payments Of Debt,-13444000.0
MONC.MI,cash_flow,2024-12-31,Net Short Term Debt Issuance,-11931000.0
MONC.MI,cash_flow,2024-12-31,Net Long Term Debt Issuance,-1513000.0
MONC.MI,cash_flow,2024-12-31,Long Term Debt Payments,-1513000.0
MONC.MI,cash_flow,2024-12-31,Investing Cash Flow,-267428000.0
MONC.MI,cash_flow,2024-12-31,Net Investment Purchase And Sale,-80753000.0
MONC.MI,cash_flow,2024-12-31,Purchase Of Investment,-80753000.0
MONC.MI,cash_flow,2024-12-31,Net Business Purchase And Sale,0.0
MONC.MI,cash_flow,2024-12-31,Sale Of Business,0.0
MONC.MI,cash_flow,2024-12-31,Net PPE Purchase And Sale,-186675000.0
MONC.MI,cash_flow,2024-12-31,Sale Of PPE,8520000.0
MONC.MI,cash_flow,2024-12-31,Purchase Of PPE,-195195000.0
MONC.MI,cash_flow,2024-12-31,Operating Cash Flow,989506000.0
MONC.MI,cash_flow,2024-12-31,Taxes Refund Paid,-263236000.0
MONC.MI,cash_flow,2024-12-31,Interest Received Cfo,26338000.0
MONC.MI,cash_flow,2024-12-31,Change In Working Capital,-34090000.0
MONC.MI,cash_flow,2024-12-31,Change In Other Current Assets,-15444000.0
MONC.MI,cash_flow,2024-12-31,Change In Payable,-1169000.0
MONC.MI,cash_flow,2024-12-31,Change In Inventory,-13801000.0
MONC.MI,cash_flow,2024-12-31,Change In Receivables,-3676000.0
MONC.MI,cash_flow,2024-12-31,Other Non Cash Items,4812000.0
MONC.MI,cash_flow,2024-12-31,Stock Based Compensation,46954000.0
MONC.MI,cash_flow,2024-12-31,Deferred Tax,270213000.0
MONC.MI,cash_flow,2024-12-31,Depreciation And Amortization,306844000.0
MONC.MI,cash_flow,2024-12-31,Amortization Cash Flow,31538000.0
MONC.MI,cash_flow,2024-12-31,Depreciation,275306000.0
MONC.MI,cash_flow,2024-12-31,Net Foreign Currency Exchange Gain Loss,1703000.0
MONC.MI,cash_flow,2024-12-31,Net Income From Continuing Operations,639596000.0
MONC.MI,cash_flow,2023-12-31,Free Cash Flow,738442000.0
MONC.MI,cash_flow,2023-12-31,Repurchase Of Capital Stock,0.0
MONC.MI,cash_flow,2023-12-31,Repayment Of Debt,-8197000.0
MONC.MI,cash_flow,2023-12-31,Capital Expenditure,-176423000.0
MONC.MI,cash_flow,2023-12-31,End Cash Position,998799000.0
MONC.MI,cash_flow,2023-12-31,Beginning Cash Position,882254000.0
MONC.MI,cash_flow,2023-12-31,Effect Of Exchange Rate Changes,-27627000.0
MONC.MI,cash_flow,2023-12-31,Changes In Cash,144172000.0
MONC.MI,cash_flow,2023-12-31,Financing Cash Flow,-528020000.0
MONC.MI,cash_flow,2023-12-31,Net Other Financing Charges,-68605000.0
MONC.MI,cash_flow,2023-12-31,Cash Dividends Paid,-303443000.0
MONC.MI,cash_flow,2023-12-31,Common Stock Dividend Paid,-303443000.0
MONC.MI,cash_flow,2023-12-31,Net Common Stock Issuance,0.0
MONC.MI,cash_flow,2023-12-31,Common Stock Payments,0.0
MONC.MI,cash_flow,2023-12-31,Net Issuance Payments Of Debt,-23781000.0
MONC.MI,cash_flow,2023-12-31,Net Short Term Debt Issuance,-15584000.0
MONC.MI,cash_flow,2023-12-31,Net Long Term Debt Issuance,-8197000.0
MONC.MI,cash_flow,2023-12-31,Long Term Debt Payments,-8197000.0
MONC.MI,cash_flow,2023-12-31,Investing Cash Flow,-242673000.0
MONC.MI,cash_flow,2023-12-31,Net Investment Purchase And Sale,-68605000.0
MONC.MI,cash_flow,2023-12-31,Purchase Of Investment,-68605000.0
MONC.MI,cash_flow,2023-12-31,Net PPE Purchase And Sale,-174068000.0
MONC.MI,cash_flow,2023-12-31,Sale Of PPE,2355000.0
MONC.MI,cash_flow,2023-12-31,Purchase Of PPE,-176423000.0
MONC.MI,cash_flow,2023-12-31,Operating Cash Flow,914865000.0
MONC.MI,cash_flow,2023-12-31,Taxes Refund Paid,-285112000.0
MONC.MI,cash_flow,2023-12-31,Interest Received Cfo,8334000.0
MONC.MI,cash_flow,2023-12-31,Change In Working Capital,-29949000.0
MONC.MI,cash_flow,2023-12-31,Change In Other Current Assets,23565000.0
MONC.MI,cash_flow,2023-12-31,Change In Payable,67282000.0
MONC.MI,cash_flow,2023-12-31,Change In Inventory,-72862000.0
MONC.MI,cash_flow,2023-12-31,Change In Receivables,-47934000.0
MONC.MI,cash_flow,2023-12-31,Other Non Cash Items,20994000.0
MONC.MI,cash_flow,2023-12-31,Stock Based Compensation,39966000.0
MONC.MI,cash_flow,2023-12-31,Deferred Tax,258733000.0
MONC.MI,cash_flow,2023-12-31,Depreciation And Amortization,291700000.0
MONC.MI,cash_flow,2023-12-31,Amortization Cash Flow,26386000.0
MONC.MI,cash_flow,2023-12-31,Depreciation,265314000.0
MONC.MI,cash_flow,2023-12-31,Net Foreign Currency Exchange Gain Loss,2210000.0
MONC.MI,cash_flow,2023-12-31,Net Income From Continuing Operations,611902000.0
MONC.MI,cash_flow,2022-12-31,Free Cash Flow,492724000.0
MONC.MI,cash_flow,2022-12-31,Repurchase Of Capital Stock,-48352000.0
MONC.MI,cash_flow,2022-12-31,Repayment Of Debt,-11803000.0
MONC.MI,cash_flow,2022-12-31,Capital Expenditure,-169853000.0
MONC.MI,cash_flow,2022-12-31,End Cash Position,882254000.0
MONC.MI,cash_flow,2022-12-31,Beginning Cash Position,802715000.0
MONC.MI,cash_flow,2022-12-31,Effect Of Exchange Rate Changes,-24686000.0
MONC.MI,cash_flow,2022-12-31,Changes In Cash,104225000.0
MONC.MI,cash_flow,2022-12-31,Financing Cash Flow,-391253000.0
MONC.MI,cash_flow,2022-12-31,Net Other Financing Charges,2929000.0
MONC.MI,cash_flow,2022-12-31,Cash Dividends Paid,-160960000.0
MONC.MI,cash_flow,2022-12-31,Common Stock Dividend Paid,-160960000.0
MONC.MI,cash_flow,2022-12-31,Net Common Stock Issuance,-48352000.0
MONC.MI,cash_flow,2022-12-31,Common Stock Payments,-48352000.0
MONC.MI,cash_flow,2022-12-31,Net Issuance Payments Of Debt,-14368000.0
MONC.MI,cash_flow,2022-12-31,Net Short Term Debt Issuance,-2565000.0
MONC.MI,cash_flow,2022-12-31,Net Long Term Debt Issuance,-11803000.0
MONC.MI,cash_flow,2022-12-31,Long Term Debt Payments,-11803000.0
MONC.MI,cash_flow,2022-12-31,Investing Cash Flow,-167099000.0
MONC.MI,cash_flow,2022-12-31,Net Business Purchase And Sale,0.0
MONC.MI,cash_flow,2022-12-31,Purchase Of Business,0.0
MONC.MI,cash_flow,2022-12-31,Net PPE Purchase And Sale,-167099000.0
MONC.MI,cash_flow,2022-12-31,Sale Of PPE,2754000.0
MONC.MI,cash_flow,2022-12-31,Purchase Of PPE,-169853000.0
MONC.MI,cash_flow,2022-12-31,Operating Cash Flow,662577000.0
MONC.MI,cash_flow,2022-12-31,Taxes Refund Paid,-342127000.0
MONC.MI,cash_flow,2022-12-31,Interest Received Cfo,14000.0
MONC.MI,cash_flow,2022-12-31,Interest Paid Cfo,0.0
MONC.MI,cash_flow,2022-12-31,Change In Working Capital,-66609000.0
MONC.MI,cash_flow,2022-12-31,Change In Other Current Assets,-21574000.0
MONC.MI,cash_flow,2022-12-31,Change In Payable,163314000.0
MONC.MI,cash_flow,2022-12-31,Change In Inventory,-120225000.0
MONC.MI,cash_flow,2022-12-31,Change In Receivables,-88124000.0
MONC.MI,cash_flow,2022-12-31,Other Non Cash Items,22736000.0
MONC.MI,cash_flow,2022-12-31,Stock Based Compensation,37015000.0
MONC.MI,cash_flow,2022-12-31,Deferred Tax,140625000.0
MONC.MI,cash_flow,2022-12-31,Depreciation And Amortization,264917000.0
MONC.MI,cash_flow,2022-12-31,Amortization Cash Flow,22163000.0
MONC.MI,cash_flow,2022-12-31,Depreciation,242754000.0
MONC.MI,cash_flow,2022-12-31,Net Foreign Currency Exchange Gain Loss,4480000.0
MONC.MI,cash_flow,2022-12-31,Net Income From Continuing Operations,606706000.0
1913.HK,cash_flow,2025-12-31,Free Cash Flow,1043286000.0
1913.HK,cash_flow,2025-12-31,Repayment Of Debt,-172439000.0
1913.HK,cash_flow,2025-12-31,Issuance Of Debt,1494381000.0
1913.HK,cash_flow,2025-12-31,Capital Expenditure,-610972000.0
1913.HK,cash_flow,2025-12-31,End Cash Position,1261676000.0
1913.HK,cash_flow,2025-12-31,Beginning Cash Position,1011523000.0
1913.HK,cash_flow,2025-12-31,Effect Of Exchange Rate Changes,-32574000.0
1913.HK,cash_flow,2025-12-31,Changes In Cash,282727000.0
1913.HK,cash_flow,2025-12-31,Financing Cash Flow,446069000.0
1913.HK,cash_flow,2025-12-31,Net Other Financing Charges,-3600000.0
1913.HK,cash_flow,2025-12-31,Cash Dividends Paid,-419647000.0
1913.HK,cash_flow,2025-12-31,Net Issuance Payments Of Debt,1321942000.0
1913.HK,cash_flow,2025-12-31,Net Short Term Debt Issuance,117929000.0
1913.HK,cash_flow,2025-12-31,Short Term Debt Payments,-159842000.0
1913.HK,cash_flow,2025-12-31,Short Term Debt Issuance,277771000.0
1913.HK,cash_flow,2025-12-31,Net Long Term Debt Issuance,1204013000.0
1913.HK,cash_flow,2025-12-31,Long Term Debt Payments,-12597000.0
1913.HK,cash_flow,2025-12-31,Long Term Debt Issuance,1216610000.0
1913.HK,cash_flow,2025-12-31,Investing Cash Flow,-1817600000.0
